19010, 67360
decrease 10 2
decrease 9 2
decrease 8 2
decrease 7 2
double 6 4
increase 12 2
double 13 8
decrease 26 2
double 25 14
increase 50 2
double 51 27
decrease 102 2
double 101 52
square 202 10152
decrease 40804 2
decrease 40803 2
decrease 40802 2
decrease 40801 2
decrease 40800 2
decrease 40799 2
decrease 40798 2
decrease 40797 2
decrease 40796 2
decrease 40795 2
decrease 40794 2
decrease 40793 2
decrease 40792 2
decrease 40791 2
decrease 40790 2
decrease 40789 2
decrease 40788 2
decrease 40787 2
decrease 40786 2
decrease 40785 2
decrease 40784 2
decrease 40783 2
decrease 40782 2
decrease 40781 2
decrease 40780 2
decrease 40779 2
decrease 40778 2
decrease 40777 2
decrease 40776 2
decrease 40775 2
decrease 40774 2
decrease 40773 2
decrease 40772 2
decrease 40771 2
decrease 40770 2
decrease 40769 2
decrease 40768 2
decrease 40767 2
decrease 40766 2
decrease 40765 2
decrease 40764 2
decrease 40763 2
decrease 40762 2
decrease 40761 2
decrease 40760 2
decrease 40759 2
decrease 40758 2
decrease 40757 2
decrease 40756 2
decrease 40755 2
decrease 40754 2
decrease 40753 2
decrease 40752 2
decrease 40751 2
decrease 40750 2
decrease 40749 2
decrease 40748 2
decrease 40747 2
decrease 40746 2
decrease 40745 2
decrease 40744 2
decrease 40743 2
decrease 40742 2
decrease 40741 2
decrease 40740 2
decrease 40739 2
decrease 40738 2
decrease 40737 2
decrease 40736 2
decrease 40735 2
decrease 40734 2
decrease 40733 2
decrease 40732 2
decrease 40731 2
decrease 40730 2
decrease 40729 2
decrease 40728 2
decrease 40727 2
decrease 40726 2
decrease 40725 2
decrease 40724 2
decrease 40723 2
decrease 40722 2
decrease 40721 2
decrease 40720 2
decrease 40719 2
decrease 40718 2
decrease 40717 2
decrease 40716 2
decrease 40715 2
decrease 40714 2
decrease 40713 2
decrease 40712 2
decrease 40711 2
decrease 40710 2
decrease 40709 2
decrease 40708 2
decrease 40707 2
decrease 40706 2
decrease 40705 2
decrease 40704 2
decrease 40703 2
decrease 40702 2
decrease 40701 2
decrease 40700 2
decrease 40699 2
decrease 40698 2
decrease 40697 2
decrease 40696 2
decrease 40695 2
decrease 40694 2
decrease 40693 2
decrease 40692 2
decrease 40691 2
decrease 40690 2
decrease 40689 2
decrease 40688 2
decrease 40687 2
decrease 40686 2
decrease 40685 2
decrease 40684 2
decrease 40683 2
decrease 40682 2
decrease 40681 2
decrease 40680 2
decrease 40679 2
decrease 40678 2
decrease 40677 2
decrease 40676 2
decrease 40675 2
decrease 40674 2
decrease 40673 2
decrease 40672 2
decrease 40671 2
decrease 40670 2
decrease 40669 2
decrease 40668 2
decrease 40667 2
decrease 40666 2
decrease 40665 2
decrease 40664 2
decrease 40663 2
decrease 40662 2
decrease 40661 2
decrease 40660 2
decrease 40659 2
decrease 40658 2
decrease 40657 2
decrease 40656 2
decrease 40655 2
decrease 40654 2
decrease 40653 2
decrease 40652 2
decrease 40651 2
decrease 40650 2
decrease 40649 2
decrease 40648 2
decrease 40647 2
